epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.552,1.59513,1.72238,1.39972,0.69717,0.5827,0.63864,0.3414,1.54116,1.24162,1.35447,0.00333018,0.00333018,0.00333018
2,765.947,1.53095,1.2445,1.3254,0.67384,0.57953,0.62085,0.33313,1.62295,1.25512,1.38708,0.00661953,0.00661953,0.00661953
3,1139.28,1.61734,1.38987,1.37396,0.63228,0.50542,0.53304,0.27747,1.72594,1.54172,1.45884,0.00986489,0.00986489,0.00986489
4,1512.8,1.68241,1.48832,1.42841,0.67629,0.55592,0.5923,0.31964,1.61957,1.38009,1.46124,0.009802,0.009802,0.009802
5,1885.74,1.62587,1.38446,1.40566,0.68826,0.5491,0.59888,0.32104,1.62487,1.33069,1.4195,0.009736,0.009736,0.009736
6,2258.9,1.58834,1.3034,1.38185,0.73326,0.60758,0.65617,0.36761,1.54121,1.21172,1.40207,0.00967,0.00967,0.00967
7,2631.2,1.54994,1.2389,1.36694,0.73775,0.62007,0.67184,0.38157,1.49892,1.16127,1.37124,0.009604,0.009604,0.009604
8,3003.81,1.52152,1.19892,1.34609,0.7629,0.64563,0.70609,0.40213,1.49063,1.07381,1.37495,0.009538,0.009538,0.009538
9,3375.64,1.50131,1.15938,1.33886,0.75367,0.64614,0.70596,0.40724,1.44933,1.06174,1.35873,0.009472,0.009472,0.009472
10,3748.44,1.47846,1.11757,1.32345,0.77376,0.64877,0.71274,0.41412,1.44419,1.04539,1.35732,0.009406,0.009406,0.009406
11,4120.6,1.45265,1.09065,1.30806,0.76902,0.66037,0.71973,0.4267,1.40788,1.03016,1.32314,0.00934,0.00934,0.00934
12,4493.08,1.42399,1.04916,1.2967,0.77344,0.68355,0.73521,0.43921,1.40293,0.99171,1.32922,0.009274,0.009274,0.009274
13,4864.81,1.41874,1.0421,1.29037,0.79095,0.67882,0.74573,0.44542,1.37733,0.97138,1.30618,0.009208,0.009208,0.009208
14,5235.79,1.40735,1.03045,1.28494,0.78238,0.68741,0.74901,0.45148,1.37686,0.95208,1.29375,0.009142,0.009142,0.009142
15,5607.86,1.39246,0.99913,1.26775,0.80507,0.67715,0.75491,0.45572,1.36684,0.93304,1.29499,0.009076,0.009076,0.009076
16,5979.08,1.37994,0.9873,1.27176,0.80841,0.68408,0.75895,0.45913,1.37036,0.94108,1.30504,0.00901,0.00901,0.00901
17,6351.35,1.35815,0.9593,1.25842,0.79403,0.7009,0.76084,0.46392,1.34847,0.90583,1.27049,0.008944,0.008944,0.008944
