epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1936,2.18091,3.10036,1.61881,0.43898,0.22163,0.2468,0.10681,2.00221,2.4662,1.53398,0.000550876,0.000550876,0.000550876
2,82.6219,1.95201,2.20374,1.47279,0.34506,0.28372,0.21575,0.08613,2.05399,2.43669,1.53225,0.00109559,0.00109559,0.00109559
3,118.94,1.93617,2.03186,1.47132,0.40478,0.36538,0.30737,0.13042,2.08664,2.03416,1.58832,0.0016293,0.0016293,0.0016293
4,154.579,1.95603,1.8909,1.48503,0.36615,0.2935,0.26035,0.11865,2.07842,2.13829,1.58856,0.00161749,0.00161749,0.00161749
5,190.88,1.8833,1.77268,1.44829,0.43613,0.42674,0.40375,0.18561,1.99999,1.9472,1.52321,0.00160099,0.00160099,0.00160099
6,230.133,1.83453,1.6859,1.42366,0.63301,0.46513,0.5012,0.26296,1.83053,1.86967,1.51338,0.00158448,0.00158448,0.00158448
7,266.163,1.78396,1.57896,1.39073,0.69255,0.49194,0.54075,0.28355,1.8615,1.60412,1.48027,0.00156798,0.00156798,0.00156798
8,301.756,1.78468,1.55156,1.37657,0.64386,0.55528,0.55782,0.301,1.7985,1.63392,1.45581,0.00155148,0.00155148,0.00155148
9,337.456,1.73516,1.51667,1.36914,0.7123,0.52046,0.59735,0.3178,1.73594,1.44358,1.39955,0.00153497,0.00153497,0.00153497
10,372.773,1.73452,1.47933,1.35234,0.66978,0.5653,0.607,0.31552,1.79297,1.45174,1.4098,0.00151847,0.00151847,0.00151847
11,408.137,1.68414,1.4173,1.34362,0.69828,0.55641,0.61722,0.34762,1.68955,1.41434,1.39144,0.00150197,0.00150197,0.00150197
12,443.313,1.7051,1.41284,1.35425,0.67446,0.5593,0.61652,0.3507,1.78664,1.45124,1.47882,0.00148546,0.00148546,0.00148546
13,478.74,1.65321,1.36034,1.32672,0.71204,0.54259,0.60616,0.32947,1.76485,1.45568,1.43243,0.00146896,0.00146896,0.00146896
14,514.431,1.64217,1.35018,1.30493,0.65389,0.52935,0.59516,0.33309,1.69789,1.41338,1.37176,0.00145246,0.00145246,0.00145246
15,550.065,1.6316,1.33135,1.31878,0.71045,0.56926,0.63015,0.35043,1.78091,1.40215,1.43274,0.00143595,0.00143595,0.00143595
16,585.841,1.60665,1.30039,1.30273,0.70524,0.61554,0.66215,0.3787,1.63653,1.28885,1.39712,0.00141945,0.00141945,0.00141945
17,621.353,1.58166,1.25024,1.27554,0.67823,0.58477,0.64606,0.38131,1.64805,1.3733,1.35764,0.00140295,0.00140295,0.00140295
18,656.781,1.60159,1.26169,1.29007,0.66482,0.57979,0.62865,0.36625,1.64806,1.32106,1.3677,0.00138644,0.00138644,0.00138644
19,692.359,1.5921,1.27301,1.29238,0.71333,0.62225,0.66826,0.3912,1.61801,1.26756,1.35752,0.00136994,0.00136994,0.00136994
