epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6258,2.36905,3.64334,1.68287,0.51001,0.08062,0.17481,0.07224,2.02919,3.21283,1.48423,0.000411932,0.000411932,0.000411932
2,111.104,2.05351,2.70045,1.4656,0.36583,0.29409,0.20826,0.08969,2.09331,2.45502,1.51465,0.000812192,0.000812192,0.000812192
3,163.389,1.99622,2.47405,1.4669,0.41089,0.28881,0.26857,0.13425,1.99722,2.5591,1.49898,0.00119595,0.00119595,0.00119595
4,216.808,1.96968,2.28592,1.45004,0.71202,0.25413,0.33353,0.15851,1.98913,2.19698,1.49098,0.00117575,0.00117575,0.00117575
5,274.315,1.90255,2.1126,1.42458,0.62375,0.38689,0.42386,0.23339,1.88653,1.93151,1.4413,0.001151,0.001151,0.001151
6,315.189,1.86395,2.00051,1.40107,0.67881,0.37634,0.43272,0.23386,1.87071,2.06534,1.4343,0.00112625,0.00112625,0.00112625
7,349.006,1.8332,1.94266,1.39856,0.72418,0.39235,0.49491,0.27332,1.82526,1.75421,1.39859,0.0011015,0.0011015,0.0011015
8,377.427,1.77672,1.82047,1.36067,0.64118,0.45507,0.48589,0.26838,1.82925,1.83119,1.44836,0.00107675,0.00107675,0.00107675
9,406.688,1.74177,1.73583,1.34692,0.76855,0.43233,0.52182,0.29262,1.79058,1.79206,1.39019,0.001052,0.001052,0.001052
10,436.48,1.71583,1.66258,1.31823,0.72451,0.45677,0.55445,0.32292,1.72621,1.62369,1.36627,0.00102725,0.00102725,0.00102725
11,468.707,1.69776,1.64462,1.32484,0.70557,0.43407,0.48934,0.26008,1.88088,1.84175,1.43454,0.0010025,0.0010025,0.0010025
12,502.386,1.68947,1.62372,1.31424,0.61426,0.48137,0.55611,0.3177,1.72829,1.61686,1.35701,0.00097775,0.00097775,0.00097775
13,532.609,1.64783,1.55835,1.29342,0.74131,0.45465,0.5677,0.31789,1.72897,1.54931,1.39108,0.000953,0.000953,0.000953
14,564.022,1.63837,1.54279,1.29635,0.69514,0.51834,0.57671,0.32966,1.68184,1.5149,1.35426,0.00092825,0.00092825,0.00092825
15,594.262,1.58393,1.4894,1.26521,0.6925,0.50656,0.57845,0.34218,1.64516,1.52923,1.33032,0.0009035,0.0009035,0.0009035
16,624.201,1.59567,1.49002,1.27765,0.72677,0.50503,0.58876,0.35135,1.66293,1.46683,1.3261,0.00087875,0.00087875,0.00087875
17,657.284,1.58519,1.45781,1.25997,0.71736,0.51084,0.60516,0.37833,1.59539,1.45092,1.31752,0.000854,0.000854,0.000854
18,688.245,1.53906,1.37623,1.23404,0.80296,0.46253,0.61205,0.3787,1.54259,1.43264,1.27927,0.00082925,0.00082925,0.00082925
19,719.611,1.5668,1.40277,1.25099,0.75761,0.48826,0.59404,0.37088,1.62583,1.52802,1.31401,0.0008045,0.0008045,0.0008045
20,751.852,1.53536,1.36818,1.24058,0.69415,0.56004,0.64677,0.40192,1.55551,1.37962,1.29891,0.00077975,0.00077975,0.00077975
21,785.182,1.50196,1.32424,1.22947,0.64853,0.58828,0.64062,0.3829,1.67154,1.3503,1.33232,0.000755,0.000755,0.000755
22,818.751,1.4981,1.32322,1.21839,0.69835,0.54826,0.64108,0.39708,1.55604,1.36613,1.28787,0.00073025,0.00073025,0.00073025
23,851.399,1.48273,1.29755,1.21246,0.74645,0.5586,0.6535,0.4025,1.56329,1.33638,1.28961,0.0007055,0.0007055,0.0007055
24,884.115,1.45209,1.25716,1.20701,0.67277,0.58633,0.66306,0.42103,1.49481,1.30113,1.2625,0.00068075,0.00068075,0.00068075
25,918.383,1.44826,1.22568,1.19605,0.73085,0.56213,0.6571,0.41198,1.55677,1.31762,1.30907,0.000656,0.000656,0.000656
26,952.724,1.44372,1.22477,1.1855,0.72783,0.59423,0.69733,0.43042,1.54725,1.25288,1.26969,0.00063125,0.00063125,0.00063125
27,986.91,1.42774,1.2013,1.18475,0.69954,0.65152,0.7003,0.44428,1.48681,1.24754,1.26417,0.0006065,0.0006065,0.0006065
28,1019.69,1.41347,1.1841,1.18346,0.70776,0.61633,0.69678,0.43054,1.4969,1.26081,1.27969,0.00058175,0.00058175,0.00058175
29,1053.27,1.37814,1.13742,1.15527,0.73744,0.61177,0.7086,0.44168,1.49427,1.21824,1.25983,0.000557,0.000557,0.000557
30,1086.82,1.3448,1.10196,1.15035,0.77873,0.60315,0.70597,0.44253,1.50274,1.2069,1.2531,0.00053225,0.00053225,0.00053225
31,1119.48,1.36595,1.11346,1.1579,0.75468,0.61089,0.70059,0.4441,1.50723,1.23112,1.27739,0.0005075,0.0005075,0.0005075
32,1152.56,1.3881,1.12455,1.16552,0.72971,0.61036,0.69474,0.44009,1.48976,1.22587,1.26658,0.00048275,0.00048275,0.00048275
33,1186.31,1.33675,1.07973,1.14094,0.78651,0.62403,0.72049,0.45752,1.49214,1.15839,1.26209,0.000458,0.000458,0.000458
34,1219.76,1.34375,1.06674,1.14696,0.77691,0.6319,0.72468,0.4731,1.42883,1.20404,1.24556,0.00043325,0.00043325,0.00043325
35,1252.98,1.32165,1.05269,1.1328,0.75723,0.63635,0.72677,0.4645,1.44484,1.15769,1.24848,0.0004085,0.0004085,0.0004085
36,1285.69,1.28699,1.02169,1.12324,0.75692,0.65893,0.72643,0.4645,1.46055,1.1554,1.25243,0.00038375,0.00038375,0.00038375
37,1319.61,1.28276,0.99241,1.11569,0.73989,0.6632,0.74041,0.4759,1.43998,1.1226,1.24262,0.000359,0.000359,0.000359
38,1352.14,1.24505,0.98332,1.10267,0.74797,0.68138,0.74331,0.47993,1.41451,1.11533,1.23449,0.00033425,0.00033425,0.00033425
39,1387.03,1.23955,0.98012,1.10192,0.71407,0.67395,0.74142,0.4646,1.48807,1.12982,1.25101,0.0003095,0.0003095,0.0003095
40,1421.32,1.22592,0.94135,1.09868,0.79577,0.65874,0.74732,0.48224,1.42351,1.11057,1.23985,0.00028475,0.00028475,0.00028475
41,1477.04,1.19793,0.87511,1.10797,0.78151,0.6257,0.73025,0.46947,1.42738,1.11017,1.24168,0.00026,0.00026,0.00026
42,1508.7,1.16178,0.82625,1.09556,0.78988,0.64446,0.74911,0.47747,1.40952,1.09786,1.23259,0.00023525,0.00023525,0.00023525
43,1539.19,1.13746,0.82347,1.08631,0.80201,0.64981,0.76032,0.48901,1.41071,1.09661,1.22906,0.0002105,0.0002105,0.0002105
44,1570.1,1.10888,0.78751,1.07081,0.77672,0.69532,0.76109,0.48765,1.4119,1.08567,1.23295,0.00018575,0.00018575,0.00018575
